index,team1,team2,result_winner_1,result_winner_2,result_winner_3
0,G-5,G-14,team2,team1,team2
1,G-10,G-1,team1,team2,team2
2,G-5,G-8,team1,team2,team1
3,G-5,G-4,team1,team1,
4,G-3,G-14,team1,team1,
5,G-14,G-15,team1,team1,
6,G-4,G-11,team1,team1,
7,G-8,G-14,team1,team2,team1
8,G-1,G-7,team1,team1,
9,G-9,G-12,team2,team2,
10,G-9,G-1,team2,team2,
11,G-13,G-7,team2,team2,
12,G-3,G-6,team1,team2,team1
13,G-12,G-13,team1,team1,
14,G-3,G-15,team1,team1,
15,G-11,G-1,team2,team1,team2
16,G-9,G-14,team1,team1,
17,G-11,G-8,team1,team2,team1
18,G-2,G-7,team2,team2,
19,G-6,G-2,team2,team2,
20,G-10,G-9,team1,team1,
21,G-7,G-11,team2,team2,
22,G-14,G-12,team1,team1,
23,G-10,G-15,team1,team1,
24,G-6,G-4,team2,team2,
25,G-2,G-1,team2,team2,
26,G-11,G-6,team1,team2,team2
27,G-9,G-16,team1,team1,
28,G-9,G-2,team2,team1,team2
29,G-8,G-1,team2,team2,
30,G-12,G-11,team2,team1,team2
31,G-9,G-3,team1,team1,
32,G-11,G-15,team1,team1,
33,G-12,G-6,team1,team2,team1
34,G-6,G-8,team1,team2,team2
35,G-12,G-5,team1,team1,
36,G-14,G-6,team1,team1,
37,G-13,G-11,team2,team2,
38,G-7,G-6,team1,team1,
39,G-9,G-8,team2,team2,
40,G-13,G-16,team2,team1,team1
41,G-9,G-6,team1,team1,
42,G-11,G-5,team2,team1,team1
43,G-14,G-16,team1,team1,
44,G-15,G-13,team2,team1,team1
45,G-14,G-11,team1,team2,team1
46,G-4,G-3,team1,team2,team2
47,G-9,G-13,team1,team1,
48,G-2,G-13,team1,team1,
49,G-13,G-10,team2,team2,
50,G-6,G-15,team2,team2,
51,G-3,G-2,team2,team2,
52,G-2,G-16,team1,team1,
53,G-11,G-2,team1,team2,team2
54,G-6,G-16,team1,team1,
55,G-1,G-14,team2,team1,team2
56,G-2,G-15,team1,team1,
57,G-2,G-8,team2,team2,
58,G-1,G-4,team1,team1,
59,G-2,G-14,team2,team1,team1
60,G-10,G-8,team2,team1,team2
61,G-7,G-10,team2,team2,
62,G-12,G-8,team1,team1,
63,G-3,G-5,team2,team2,
64,G-16,G-12,team1,team1,
65,G-6,G-13,team1,team2,team2
66,G-10,G-6,team1,team1,
67,G-3,G-12,team2,team2,
68,G-11,G-16,team2,team2,
69,G-6,G-1,team2,team2,
70,G-13,G-3,team2,team2,
71,G-11,G-10,team2,team2,
72,G-10,G-5,team1,team1,
73,G-11,G-3,team1,team1,
74,G-2,G-5,team1,team2,team2
75,G-4,G-8,team2,team2,
76,G-4,G-14,team2,team2,
77,G-3,G-1,team2,team2,
78,G-16,G-15,team1,team1,
79,G-2,G-10,team2,team2,
80,G-7,G-14,team1,team2,team1
81,G-3,G-16,team1,team1,
82,G-12,G-4,team1,team1,
83,G-14,G-10,team2,team1,draw
84,G-16,G-5,team2,team2,
85,G-5,G-1,team1,team2,team2
86,G-7,G-12,team1,team2,team1
87,G-10,G-12,team1,team1,
88,G-16,G-7,team2,team2,
89,G-4,G-13,team2,team1,draw
90,G-3,G-8,team2,team2,
91,G-1,G-16,team1,team1,
92,G-15,G-12,team1,team2,team2
93,G-9,G-5,,,
94,G-9,G-7,,,
95,G-15,G-4,,,
96,G-4,G-9,,,
97,G-8,G-15,,,
98,G-13,G-5,,,
99,G-16,G-4,,,
100,G-15,G-7,,,
101,G-10,G-3,,,
102,G-3,G-7,,,
103,G-10,G-4,,,
104,G-7,G-5,,,
105,G-15,G-1,,,
106,G-10,G-16,,,
107,G-8,G-16,,,
108,G-13,G-1,,,
109,G-2,G-4,,,
110,G-4,G-7,,,
111,G-2,G-12,,,
112,G-9,G-11,,,
113,G-12,G-1,,,
114,G-9,G-15,,,
115,G-5,G-6,,,
116,G-15,G-5,,,
117,G-13,G-14,,,
118,G-8,G-7,,,
119,G-8,G-13,,,
